Run,NF,fb,xb1,xb2,xb3,xb4,xb5
1,10162,7.901945764388074e-11,1.9668573119753038e-07,-3.820667390317242e-07,-9.662780696158221e-08,-2.2506217050176005e-07,3.9192438338791223e-07
2,10704,8.541434226572164e-11,-6.945656309417573e-08,-2.434516071177795e-07,6.609153701083164e-08,5.819004447456728e-07,1.5313593213779574e-07
3,10806,5.623235210805433e-11,-2.588402865676282e-07,-3.688148144562885e-07,-2.134471109316032e-07,-8.402670476588253e-08,1.6674087048096082e-07
4,10752,7.538858426414663e-11,-3.940240742326176e-07,2.6987095290149497e-09,4.3191920061839316e-07,1.9489357722729888e-07,-1.5339506350416298e-08
5,11346,6.815525921410881e-11,-2.031900711165962e-07,1.4680642376376243e-07,1.2317821447435433e-07,-5.141894081707436e-07,3.381349930181384e-08
6,10388,6.74162947689183e-11,-1.995994520797935e-07,-5.5883252257471e-08,-5.090245752033205e-08,4.065912042582759e-07,-3.5907073547249056e-07
7,11366,6.660627605015179e-11,-1.2389866310586203e-07,5.129402002590971e-07,1.411108616535239e-07,-9.693614233723017e-08,-1.671859618420098e-07
8,9738,8.639489124107058e-11,-3.97841576115505e-07,9.629231808486078e-08,4.3006708093009674e-07,2.6838359886671656e-07,-1.0469245719837881e-07
9,11441,9.116263299802085e-11,-2.4963318024031763e-07,2.1643576300129213e-08,7.941944706222822e-09,6.287714216080072e-07,3.59850488395775e-08
10,10148,6.797762353016878e-11,-8.81348101087409e-08,-1.3502697237719646e-08,1.0192215466962701e-07,-4.5926330307449725e-07,-3.3674292271490655e-07

Success,10/10,100.00%
Mean NF ,10685.10
Std NF ,551.24
per sd ,5.16 %
