Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10
1,38678,8.481848556840532e-11,-4.209429619140427e-06,3.458767395315565e-06,1.543368999389933e-05,1.4718012607064105e-05,-7.342292048956008e-06,-1.8267529951426273e-06,3.91285926370693e-07,-2.438257686252903e-06,-4.969068275763488e-08,2.0321316022873265e-07
2,32504,3.638378487380578e-11,-5.455942015583311e-06,2.2171295241935304e-06,4.1592585539934375e-06,4.338899616538328e-06,1.9949954128733742e-06,1.1177454885254132e-05,3.347675561484015e-07,7.830226325673495e-06,-1.2754122575592166e-06,2.136112124230925e-06
3,33025,6.430089793951765e-11,3.53277399828424e-07,9.832833501929334e-06,6.685418931001361e-06,-1.6048535859697858e-05,1.3954116848290359e-06,1.7276537130421744e-07,8.145666229315798e-07,-2.2157164567891615e-07,-2.8985930831179585e-07,1.1885150968688807e-06
4,34028,9.107370413374838e-11,2.311762117027908e-06,-1.3724885000907662e-05,-3.252978176394685e-06,1.1114065618596327e-05,-5.835263224852637e-07,1.1887518606806e-06,-1.1284444262215155e-06,1.9369193751562588e-05,-2.0373920054855793e-06,3.4243535230917276e-07
5,33316,5.635214517241138e-11,-4.184305989640465e-06,-5.548428044581168e-06,-4.8903352603271944e-06,4.7983582806881795e-06,2.2853127747629803e-07,1.9431430272999197e-05,-3.609711518996126e-06,-2.102564898802342e-07,1.266169845728254e-06,-2.901505795152762e-06

Success,5/5,100.00%
Mean NF ,34310.20
Std NF ,2238.74
per sd ,6.53 %
