Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30,xb31,xb32,xb33,xb34,xb35,xb36,xb37,xb38,xb39,xb40,xb41,xb42,xb43,xb44,xb45,xb46,xb47,xb48,xb49,xb50
1,78746,9.96505100658851e-11,-1.4294202041770875e-11,6.5683460668047975e-12,6.247719477850651e-11,2.372335722766361e-11,2.4803150452703157e-11,-1.7184189451603524e-11,2.382710176405082e-11,-1.2466431422182926e-11,-2.0688395792948854e-13,-2.5648591606268618e-11,-1.6597694848807055e-11,5.2138689854482884e-12,-1.009848978026348e-11,1.7533619971854726e-12,2.4313130257794536e-11,2.450524745944237e-11,1.863799826215438e-12,4.2019776907290865e-11,-1.5197062780278264e-11,1.6788423719327313e-11,5.660237353989852e-12,1.04213513109974e-11,1.75737105355693e-11,-4.7457503953786405e-11,1.4374555622127698e-11,-1.6769747871953482e-11,3.362322561646181e-11,-1.8419094084547145e-11,6.781913545971499e-12,-2.0731624057332117e-11,-3.4862803601533844e-11,-3.4528563576954008e-12,-2.087782493929976e-11,-2.1241454099681282e-11,2.1117460005624913e-11,-4.226141758545109e-12,4.570635167904391e-12,-1.0877919011614972e-11,-3.713123459988502e-11,-2.3747387916681832e-11,-7.824362116364362e-12,-5.7263777240362027e-11,1.32324959083539e-12,3.461778377176999e-11,1.6099697751206278e-11,-3.257555319015696e-12,-4.7494312159066014e-11,4.301864950003126e-12,-7.370114664320165e-12,-5.665798506515785e-11
2,80965,9.88973347659794e-11,-6.3663343958677765e-12,-1.9405865386969157e-11,-2.530035366421748e-13,-4.565874960119806e-12,-3.4649537705414006e-12,1.4162366386308567e-11,2.491375407559514e-11,7.543760023191666e-12,1.8779022927247394e-11,3.1242434652576585e-11,-1.216895830252822e-11,-5.970871901974992e-11,1.0368532650988103e-12,-2.0204957394387315e-11,7.305203623154539e-12,-4.2445406584955075e-11,3.5015642188371247e-11,2.2758514120372537e-12,2.8043189043415938e-11,-1.3816163513446148e-11,2.9133038123929805e-11,-1.9858448742744683e-11,2.1499932390712765e-11,5.542644871887137e-12,-1.599101540361834e-11,1.6692565113912028e-11,6.257152175858797e-11,-1.0430042596044607e-11,4.847181146217154e-11,2.721074374229749e-12,4.893161215155199e-11,2.9016853023986502e-11,-3.7982557293082787e-11,-2.94027336494432e-11,6.640601557131283e-12,3.897358798866791e-11,-1.574813336839519e-11,-7.120826566840316e-13,2.0599603239189687e-11,3.7383308927141474e-11,5.032311034666725e-12,-9.51963502327211e-13,-1.663484138266579e-11,2.9772075715649114e-12,-9.401777311832326e-12,-1.7817178646681298e-12,2.2216693501815813e-11,-2.9389256828490516e-11,-6.347539658859777e-12,9.572556135429165e-12
3,78499,9.89648363258766e-11,3.893365308770505e-11,1.666702170131244e-11,6.83992364255526e-12,-6.206200763872668e-12,2.0326349494371965e-12,-3.353981985899883e-12,-3.591757186263528e-11,-1.6478679690758203e-11,1.5313473027257425e-11,1.3901874573881071e-11,-1.0746899431779538e-11,-2.6822176360082442e-11,-1.566382282199934e-11,2.106166010419807e-11,-3.7815667327482205e-11,4.034457360322268e-13,-2.0551887764116508e-11,-8.134488365961947e-12,-5.613627712189787e-12,3.326507459469232e-11,-2.3892065867679295e-12,-3.85032556396075e-11,1.7907183795846896e-11,2.3830552278250558e-11,-2.419207882208793e-11,-3.221719544287071e-11,-3.232569334056261e-11,-1.2888666349878761e-11,-2.34096274808403e-12,3.219430858633158e-11,-8.769866934009453e-12,-3.2770080601690455e-11,-5.988314692713569e-12,5.5968174938387815e-11,-4.523680944674876e-11,-2.121882177162553e-11,9.954363294934114e-12,6.993068096468484e-12,5.306305061454237e-11,1.8625210164767388e-11,3.349129454188924e-11,1.6988190820360773e-11,3.656981832957798e-12,1.3291201530175512e-11,6.0213632862291464e-12,5.03682169073512e-11,5.083634726809313e-12,-2.5367261522102658e-11,-2.5936527040489733e-11,-1.5698579029086202e-11
4,77734,8.709521992500413e-11,-1.264289537235716e-11,5.118236313725341e-11,5.799130210628153e-11,-8.183257944782647e-12,-4.9232117094859846e-11,-8.718022336624846e-12,-4.700586793819885e-12,-8.465237590766404e-13,1.468685853629778e-11,-6.398534213222185e-12,1.8802848286620427e-11,5.501199874035545e-12,-2.533617338306415e-12,-2.2126937951536395e-11,5.1839573985692475e-11,-3.0666098219756672e-12,-1.5673810200002435e-11,-1.3838350657399664e-11,-3.845717882748298e-11,-8.91445196746778e-12,1.5212074947865434e-11,-2.348521574641973e-12,2.920472037024781e-12,9.132376062155345e-12,-2.896444455209524e-15,3.3248136607954852e-12,-2.21708253081963e-11,1.9570323890303168e-11,-4.459856986631263e-12,-4.52724610752406e-12,-1.248544931132146e-11,-4.148973211245505e-11,-1.3677957603648799e-11,-3.362542405478132e-12,-9.97912673690074e-12,-2.7441321261585157e-12,2.2856222779890628e-11,4.4669757697748096e-11,1.280687003041896e-11,1.1804867430442976e-11,-1.2977936601820445e-11,7.824042591432526e-12,3.50128296631964e-11,-4.854619891640383e-12,-1.6234872310602662e-11,-6.687969527579143e-12,8.9357652495187e-12,9.013271102140101e-12,2.3990275145732783e-11,1.9008798434431437e-11
5,84029,9.779954623923004e-11,-7.309847886540897e-12,1.3698256018340727e-11,-9.874688037861406e-12,-2.1203003228515963e-11,-8.186091834505765e-12,1.2127114133257894e-11,-2.9613533271126766e-11,-6.762895188984924e-12,-3.9469432236377616e-12,-1.3204732152441444e-12,-3.939241080858135e-12,-1.2928269690408559e-11,-1.5974613216388892e-11,3.248546169564732e-12,1.904922439134377e-11,3.835376911497535e-11,-3.6182053533016653e-11,7.692651640846772e-12,-1.7879630453835816e-11,4.067730464714938e-11,1.6075136505266172e-11,-9.960984718149343e-12,-1.0225011859165291e-11,2.3489792018379136e-11,-2.272862253587076e-11,1.545685501683072e-11,2.4765927847257553e-11,1.3174569486846322e-11,2.422369021358223e-11,-7.601993632630963e-11,-3.008857284422743e-11,6.939914448172574e-12,-2.1345777353104176e-11,-2.862214573797732e-11,8.020659006775634e-12,6.04180547834832e-12,-4.304265786156543e-11,1.7631429689094848e-11,-1.2424216434368393e-11,-1.9887860037600963e-11,-2.1504875210499517e-11,-4.626027385407464e-11,3.12302067647715e-11,-2.1069253057971664e-11,3.3611768726027345e-11,-3.5506664658164215e-11,6.128921862648119e-12,2.4248075405702836e-11,3.630948146924893e-11,-1.0642414393290477e-12
6,77122,8.488187930311142e-11,-7.706754452566892e-12,-1.0100930768267625e-11,2.218546818886342e-11,1.448452582058963e-11,-2.6170897651557938e-11,4.496066625447608e-11,-1.0468193547118225e-13,-4.699413211505508e-12,4.17089057402434e-11,2.9619158132388217e-12,-1.7487006059278415e-11,1.4935490086355287e-11,-9.462826255692211e-12,-1.0461215510199853e-11,7.737436818110734e-12,1.0322738902814197e-12,1.4083316555198195e-12,-2.518953381201876e-11,-4.316798690456946e-11,1.399226318573368e-11,-3.066390310613712e-11,-1.5972711153153898e-11,2.938252020405598e-12,-3.9944940250547607e-11,-2.4384850310058473e-11,1.0667096907237283e-11,1.8910743022758144e-11,-8.209855409878902e-12,3.447798855461998e-12,-1.2523394797264075e-11,3.2521735304462476e-11,2.88248034053903e-12,5.209843634885049e-12,-2.3977155013193996e-11,7.1218243769216255e-12,4.7392689280107665e-11,-1.727028087856994e-11,-2.2930176749216413e-12,3.4521407051101414e-11,2.7152567622314567e-11,5.574716701186016e-12,-8.678345433805144e-13,3.082748244578696e-12,2.9795328757885554e-11,5.88872705624127e-12,-4.007857646691764e-11,-1.211667087405663e-11,-1.9672861224865924e-11,1.6733240830326277e-11,-2.8526499071077424e-12
7,82778,9.32343091619714e-11,-1.0756744040803892e-10,1.1171134769257677e-11,-3.051351960773654e-11,2.4068243941960635e-11,1.693540235443516e-11,-2.127445741012649e-11,9.701153202626322e-12,5.915142339915661e-12,-1.466379956516529e-11,-9.688258122199208e-12,-1.8957879973533932e-11,-2.6689646296102645e-11,-3.2109535232393975e-12,-5.551443727211358e-12,-1.0394156075678535e-11,-1.2123141907850009e-11,-3.3539538339188906e-11,-4.416370129127599e-13,3.7152538009578506e-13,4.284489432114598e-12,-2.912091454265483e-12,-2.8047470501086136e-12,2.6187214777717974e-11,-2.4061001415912947e-11,1.276801498788962e-13,-1.5196863948999493e-11,1.806399922765623e-11,2.0398652677629827e-11,3.327797488444644e-11,9.943084343772157e-12,7.74359785719189e-12,-3.2443249039002136e-11,1.0882032218545191e-11,-7.197238913410303e-12,3.655540885911612e-12,-5.130649724133171e-12,-3.280081134211602e-13,9.528231357736153e-12,-1.5502561547083567e-11,1.4040603497095462e-11,4.488098110420383e-12,2.5628630079892203e-11,9.09583544286744e-12,4.026631277987605e-11,-1.827050523602554e-11,3.7026658844235826e-11,3.615860634761331e-12,1.8124624457583991e-12,1.5254345758004803e-11,-2.495767232168871e-11
8,76106,9.281153623419414e-11,-2.3909755255711175e-11,6.822720565701803e-12,6.972668647309935e-13,-5.565244292805338e-11,4.191599433158494e-12,-1.020770376485587e-13,5.2414457129968573e-11,9.682218149936186e-12,3.0302739798833177e-12,3.06218104716345e-11,6.683753823785178e-12,-3.06405469911272e-11,-2.5831994639058813e-12,1.7190280223770574e-11,3.106492233423378e-11,-4.21798281559375e-11,-2.957576774100867e-11,-4.047390400447725e-12,-4.093721707344085e-12,3.195506462214327e-11,-1.1212411208015752e-11,-2.688233313248117e-12,3.498245979438132e-11,1.1143836477177474e-11,4.150036564293096e-13,-1.3024543050239651e-11,-2.2059127551779325e-11,4.2219701016887925e-11,1.639720899493399e-11,1.9411063926489904e-11,7.925073678315187e-12,-3.013037092927054e-11,-3.16110899668097e-12,-3.884419255280692e-11,2.312664090654883e-11,-8.547148539797906e-13,1.0885570229731888e-11,-2.4153851356287265e-11,1.5025755197049483e-11,-1.259883018765044e-11,-1.2746909831270745e-11,1.9107510576756073e-11,1.9993532127078326e-11,9.57340396488764e-12,-3.859940643513337e-11,-2.1979576652854352e-11,4.889118600201259e-12,7.2208766247944e-12,6.9659400417224344e-12,4.055393772755638e-11
9,78440,9.867351380421496e-11,3.4290857400726106e-11,-2.1875837018019225e-11,2.709470689497281e-11,3.347081631584276e-11,2.2824400721772336e-11,9.480819120923322e-12,2.3801618247806756e-12,-2.0996598834670254e-11,6.990606756652706e-12,-2.2361783480775004e-11,8.863408480446732e-14,8.655733997853187e-12,2.3370927486797957e-11,1.620224502545212e-11,-2.63142493118802e-11,1.2075237013929135e-11,1.029292146249191e-11,-3.498666285256208e-11,1.3783174265941452e-11,1.373705518920943e-11,-2.155560070653698e-12,1.092394158089847e-11,4.322401283540574e-12,1.0452928057361535e-11,1.3416523844668493e-11,5.542297052405133e-12,2.2105884396318928e-11,-1.3242588891104504e-11,-9.05864363393706e-12,-1.465560467114439e-11,1.3928055815107284e-12,6.171465919492785e-11,-3.5811189829433754e-11,3.414670067928476e-11,-1.2304560569399863e-11,6.8475756312009705e-12,1.7330067990232277e-11,-6.458430931501944e-11,5.972029948231611e-12,-6.378176245109631e-12,-4.942643663811062e-12,-1.2738918394851887e-11,-2.456951224555028e-11,1.0929183570930507e-11,-1.932672404294281e-11,-3.292941135948399e-11,2.993097130888141e-11,4.879488565972112e-11,-4.175420699139114e-11,-4.542460836014256e-11
10,78141,9.171730042112358e-11,-6.223000720269537e-13,2.5500976187362474e-11,-1.1769384626007559e-11,1.4554302674474234e-11,6.537873389866977e-11,7.942281748763799e-12,-5.391313446992734e-12,1.8706059668958473e-11,8.520921306033868e-12,-1.3312588416365098e-11,-7.342845323558952e-12,4.7732795633150566e-11,-1.23443851951216e-11,-1.5486564525244535e-11,-1.8400260771064897e-11,-3.2760162572350656e-11,1.0951513093179785e-11,7.551884495638409e-12,-4.013523788808423e-11,1.5688881473308352e-11,4.2485904744949296e-11,2.720161471911556e-11,4.572503852885548e-12,-5.747347667200639e-12,2.2045407143661978e-11,-1.2913802881635045e-11,-2.1701315105989434e-11,-8.000070623431478e-12,-9.046239895899101e-12,-1.6285199090386003e-11,3.426522366380617e-12,2.8668806095359137e-11,1.2618420988769295e-11,-1.46017781593197e-11,-1.3293182751318013e-11,4.299369576743734e-11,1.4320551328124842e-11,4.797456449898718e-11,-3.5501032809525045e-11,1.706685009667594e-11,1.9498200431353695e-11,-1.1759532575042481e-11,2.5950925972058843e-12,-1.7236001777594432e-11,-1.0159299774805432e-11,2.281128645353288e-11,6.758756946539289e-12,1.5923789294906857e-11,-2.389815343427456e-11,2.0259901183160326e-11
