Run,NF,fb,xb1,xb2
1,3435,5.522737980275593e-11,-2.805117632514256,3.1313136092539526
2,2700,1.0295353042225281e-11,3.0000004540166345,1.9999992551275878
3,2853,1.5031165168049008e-11,2.9999993057713517,2.0000004530332323
4,3796,8.920876890063558e-11,3.000001484173574,1.9999980244533724
5,3274,7.443398169841463e-11,2.9999989640844404,2.0000021631225633
6,5517,8.456718979892777e-11,3.584427091610913,-1.848126763489042
7,3575,3.040915927818124e-11,2.9999994478060783,1.9999992154790882
8,2240,9.332644355243359e-11,2.999998275903576,2.000001235004109
9,3511,5.229117329177491e-11,2.9999987039829628,2.000000800031981
10,3865,4.227886803599591e-11,3.000000459842162,1.9999982803886673
11,3888,1.2058315248358462e-11,3.584428816997224,-1.8481264873509176
12,2886,5.437518118070973e-11,3.5844293100567057,-1.8481273899172077
13,2493,2.3623122068833123e-12,3.0000001851815488,1.9999996150454034
14,3590,3.256526548236138e-11,-2.8051175889210946,3.131313290855101
15,3054,4.581666292262406e-11,3.5844283593379886,-1.8481282988152805
16,2828,8.544134362346986e-11,3.0000002654687545,2.00000205674919
17,3536,2.9414655012520655e-11,2.9999994938098267,1.999999174700224
18,3400,1.823704688595057e-11,2.9999994118779654,1.9999996829021964
19,3548,7.388818966391794e-11,3.0000014142799953,1.9999999957894419
20,3349,2.5362832602023352e-11,3.0000008227412387,2.000000018919929
21,4943,2.988024001372925e-12,2.99999974526881,1.999999911112028
22,3778,7.412231347879828e-11,3.584429275163789,-1.8481253406821208
23,3335,2.5022710005505076e-11,3.584428230348643,-1.848125210931615
24,5491,2.749813505955209e-11,3.0000001642773193,1.9999986511122914
25,4428,2.212246277027397e-11,3.0000007528882544,1.9999990435606094
26,3271,6.157179016965905e-11,3.584429426522452,-1.8481270071571927
27,2910,2.0625776819779287e-11,2.9999992027696982,2.0000006923217617
28,2824,2.09073888230931e-11,3.000000646983161,1.9999989385076868
29,5306,2.4321826528530407e-11,3.5844284481075297,-1.8481252805046187
30,2454,4.671949997714918e-11,3.0000011206327266,1.9999986703606556
31,3918,8.227431573542429e-11,2.9999990098259723,1.9999988374588378
32,4424,5.286695377480509e-11,-2.8051190832110393,3.131313250861326
33,2895,9.721039570464021e-11,3.5844269717699793,-1.8481259968889912
34,3815,6.161276252855775e-11,3.0000012950110744,1.9999999828870874
35,3775,9.013883269308997e-12,2.9999997351036374,1.9999995219557198
36,2886,9.291715899903245e-11,3.0000016124441724,1.9999982109149983
37,2445,8.384052894294953e-12,3.0000004901130124,1.9999999429680866
38,2787,6.308811109493747e-11,3.5844278287682547,-1.8481245666988355
39,3596,1.4389136661314495e-11,3.5844281167589753,-1.848125576480072
40,6888,8.286871113283297e-11,3.000000192588094,2.0000020791394006
41,4335,7.117374513985694e-11,2.999999628356966,2.0000022020113946
42,3641,8.876188606782062e-11,3.000001677615029,1.9999992771386672
43,3335,5.5398363086899526e-11,2.9999991802393557,2.000001906518477
44,3563,8.955471122637397e-12,3.5844284361646244,-1.8481273102403672
45,5132,9.337975280893739e-11,3.5844296780482674,-1.848127117151567
46,4411,5.397515999401736e-11,3.0000001008668296,2.0000017172880216
47,3194,6.14739594635186e-11,2.999998798235343,2.0000016930788886
48,2151,4.2939828830899474e-11,-2.8051191257707355,3.131312978468365
49,5065,9.30529977319025e-11,3.58442902707858,-1.848128854705166
50,3369,4.1904402394887824e-11,2.999998960045328,1.9999999150862686

Success,50/50,100.00%
Mean NF ,3634.06
Std NF ,940.60
per sd ,25.88 %
