Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30
1,113480,9.902878517209501e-11,3.3676641266773296e-11,2.2491500523163327e-11,-3.9987349134422605e-11,9.464759305817524e-12,-5.120501969112568e-13,6.769770270788774e-11,-3.5795348214439257e-12,-4.38355759808447e-12,-4.721356916097509e-12,9.013859761252096e-12,-3.3745541612534473e-12,2.5778805103449578e-11,1.0700243770055304e-11,2.616529627571155e-12,1.562322742473166e-11,1.4853801768822428e-11,-2.3338287401565766e-11,-1.1645687567039229e-11,-2.0033134691996008e-11,-1.630853260851117e-11,8.680421344116101e-12,7.050358405214638e-12,-7.471884423880598e-12,-4.477514827452367e-11,4.0376196912107526e-12,-2.954418906265255e-11,2.3811452231073568e-11,-6.224617185862123e-12,-3.096436282530826e-11,5.5597116993366875e-11
2,111711,9.646017318232225e-11,-2.956655629824886e-11,-1.0346482374759151e-11,-2.3328162333911136e-12,-3.954575777439108e-11,2.0782773212436554e-11,-1.6199316117538338e-11,2.0038072164652228e-11,-1.895237207266515e-11,3.807911925453004e-13,-7.829290586460715e-12,1.7853307224804466e-11,-7.956283486689051e-12,-3.5924220267694998e-12,-1.4187618852342752e-11,-3.015242675065015e-12,-1.8327586997024954e-11,1.2618754377686576e-11,1.0611160657674048e-11,-6.247692814548213e-11,8.554599779282097e-12,7.679651450066821e-12,-1.4992618571471314e-12,-7.004079939787382e-12,-5.463331391482917e-12,-6.9672973250284465e-12,-8.180649000734498e-11,-1.4272605296803824e-11,-4.670033348806711e-12,3.031440892182103e-11,-1.2774684200806967e-11
3,113375,9.587042271164137e-11,-4.072743074248183e-11,1.9946011795836578e-11,-2.0056230961659657e-11,-6.216442511987305e-12,2.011571230865295e-11,-3.3705517714892547e-12,-8.078869981972031e-12,-1.2642376055802195e-11,-1.3308870912261883e-11,2.2038066910018612e-11,5.884527302884628e-11,3.8918771521225576e-11,9.503677255867308e-12,-5.246004187828905e-12,4.1164881415870245e-11,-1.7236797823132865e-11,-6.971512766781716e-12,-4.122614865775252e-11,-6.182966495563845e-12,1.5595137010628037e-11,-2.5681310508493086e-11,2.8960164002711615e-11,-3.888720369612881e-12,-5.668634322536117e-12,-1.5851859785842736e-11,-3.8998875394850734e-11,2.7332714178317855e-11,-3.649086622014014e-12,-1.5289996746128552e-11,1.8352133077278086e-12
4,113304,9.974643333521271e-11,2.445205009854876e-11,-6.9532077245629275e-12,1.9963906479483825e-11,1.999275548309111e-11,-3.568778088854155e-11,-1.0422749467093335e-11,-1.860036925395614e-11,3.0589615651099663e-13,4.299110961651627e-11,-1.8960395277335268e-11,-1.208229930077588e-11,-3.2985189794919653e-12,1.1534949268143409e-12,7.968634807798978e-12,2.952038666352313e-11,1.0994489042698141e-11,1.7656240103289385e-11,9.156631036050316e-12,2.054905366907053e-11,-9.32725681522472e-12,-2.7965082034929045e-11,7.28418575126065e-12,-3.374004339256611e-11,-1.8557030947203033e-11,3.536029756642005e-11,9.484969087293787e-12,-4.759853003258406e-11,-5.673388170145826e-11,3.1906112043432473e-12,-4.47586196834668e-11
5,111433,9.647438403703745e-11,-1.396752074210364e-11,-2.235407088348585e-11,1.1677797700768868e-11,2.4663441758995434e-11,1.4964670442214458e-12,-3.4696689116988557e-12,-2.81745814747147e-11,-4.471391709331374e-11,4.537248019356978e-11,1.814489925169896e-11,5.167132642018923e-11,-3.7086963435046424e-11,6.186289658211505e-12,1.0476980111501537e-11,4.932920809837726e-12,-6.344319495327982e-12,-2.5101317519553668e-11,1.0528581985542399e-11,1.0815056371675491e-12,-1.225005870365169e-11,1.1855037417401059e-11,-1.3493981395566475e-11,4.228464667887381e-11,9.264278159258401e-12,3.394150529828145e-11,-2.5727477504495916e-11,1.0892994580759846e-11,-3.874695392588836e-11,1.7612130044250266e-12,-5.740374458860738e-12
6,113625,9.975353876257032e-11,3.354601511835331e-11,7.440425334688419e-13,-2.7185645372535108e-11,8.302627575488937e-12,-1.9659676566505974e-11,-2.531687880714214e-11,1.7545662614963814e-11,2.0334541951799598e-11,-1.4502307711467524e-11,1.7867299110884586e-11,5.236741560922164e-11,1.5019403165864868e-11,1.4410584969447821e-11,-2.104777433910721e-11,-5.989510702305776e-12,2.410647494732722e-11,-3.990089424543996e-11,4.1181414072882724e-11,2.4534687570591535e-11,-3.663600146598636e-12,-1.2737024894487821e-11,-2.3033098950843586e-12,-5.247443180264823e-12,-9.441374490619023e-13,7.20619859167031e-12,-2.1612493240027763e-11,-6.394884182315096e-11,-1.1138470784191721e-11,3.554294121058313e-12,-3.694318129770838e-11
7,113878,9.162137715179597e-11,1.2557260347529942e-11,3.82764660915086e-12,-2.4301435588273317e-11,3.967827878824622e-12,-5.173278362701204e-12,1.737034511808994e-11,1.5362009363417623e-11,1.3991154973670773e-12,3.295475668621782e-11,1.7366552282031172e-12,-4.661908223598012e-13,2.647382137616955e-11,-5.4644873428561636e-11,5.342145178767778e-12,-2.6693539856902325e-11,-8.160434553246756e-12,-1.4037403498534806e-11,3.625542757755571e-11,4.045643696210687e-11,-3.4602904068583498e-12,-4.025445834412271e-11,1.002173042360806e-11,-1.4374145820842748e-11,-2.2121833750020315e-12,1.8576827000165426e-11,-3.217345356370381e-11,4.392640181293029e-12,-3.023668481174478e-11,-2.994132784872138e-11,2.2541184124950736e-11
8,113516,9.490763730468643e-11,-1.0720658836585276e-11,-1.838387127672306e-11,2.597239387475331e-11,1.2634540349706866e-12,3.5735130423844694e-11,7.135762998197106e-12,-1.5195309867503492e-11,7.284944704715266e-13,-4.13144885295553e-12,-7.025575785891542e-12,5.968855845021914e-12,2.1001417345521894e-11,-1.9450403942017013e-11,-1.1065071642339652e-11,5.2622492716041054e-12,4.0419273914548955e-11,-4.207121110364278e-11,3.295352170358018e-11,5.11124125742592e-12,3.675048429811756e-11,-3.0501569895462865e-11,2.3906967470224893e-11,2.6661196349920344e-11,9.658268154943954e-12,8.486924846774359e-13,-4.849413931432906e-11,1.4544556332420573e-11,-2.2220267713935032e-11,9.72465810928941e-12,4.247266014439785e-11
9,113917,9.879785878297298e-11,-3.506348072756488e-12,-6.030372755751048e-11,-1.9440808561667682e-11,9.3188282520942e-12,-3.918259900590277e-11,-2.1378930034050894e-11,-1.8723674054343675e-11,1.5548551670849824e-11,8.119050207576328e-12,-1.1019321907642002e-11,-5.0130127171964595e-12,-2.2051679699155062e-11,2.1105330352141396e-11,1.2796654880121986e-11,-5.968919616314793e-11,-2.3799955968064584e-11,9.508937787404364e-13,-2.7807552542538795e-11,1.9457355709409365e-11,3.272902469777947e-11,-1.525976105704772e-11,1.1525298237542508e-11,1.9786662855014047e-11,2.895114699323064e-12,1.8458950224188398e-11,5.468211280756725e-12,-2.693303394589098e-11,-1.974698709085544e-11,4.111980457914548e-11,-2.360690974892093e-13
10,112377,8.734390988252017e-11,-8.659330086018402e-12,-2.7226734847633107e-12,4.401960188343913e-11,-3.434767800913352e-11,3.278286105728794e-11,2.300987940277844e-11,2.402278357845329e-11,2.257087508299489e-11,1.3229807181901231e-11,-1.609615709656237e-11,-7.829593814140292e-12,-2.860197108705807e-12,3.229828652247257e-11,1.0588551057847373e-11,3.238465169567123e-11,2.0348585673811472e-12,-6.729300893722752e-12,2.7929862923021492e-11,2.0004474018857966e-11,-7.423277079661451e-12,-2.884895935672904e-11,7.30362346150158e-12,-4.556190807081903e-13,-3.869074891646065e-12,4.214623646198061e-13,-1.377030871342365e-11,-7.907506553309535e-12,7.591726278235163e-12,5.1561417768566554e-11,2.34836987617647e-11
