Algorithm,Function,Dimension,Success_Rate,Mean_NF_SuccessOnly,%SD_SuccessOnly,Best_Fit_Overall_Mean
M6_new,Six-Hump_Camel,2,94/100,33762.925531914894,10.03524224623931,5.5647311203443904e-11
M6_new,Himmelblau,2,1/100,38373.0,0.0,3.497543163642205e-08
M6_new,Himmelblau_MD1,2,0/100,,,5.320648533846842e-08
M6_new,Himmelblau_MD2,4,0/100,,,6.542511076393033e-06
M6_new,Himmelblau_MD3,4,0/100,,,0.0001436090959422279
M6_new,MD4,2,100/100,1999.6,51.35426472828327,3.041859068784089e-11
M6_new,Six-Hump_Camel,2,99/100,32558.88888888889,10.236598152807233,4.6577797174762736e-11
M6_new,Himmelblau,2,1/100,38469.0,0.0,1.703607679052837e-08
M6_new,Himmelblau_MD1,2,0/100,,,2.84199891582587e-08
M6_new,Himmelblau_MD2,4,0/100,,,2.532698430742832e-06
M6_new,Himmelblau_MD3,4,0/100,,,1.6722239977523398e-05
M6_new,MD4,2,100/100,1659.02,34.57190719026374,3.018528457130004e-11
M6_new,Six-Hump_Camel,2,94/100,33762.925531914894,10.03524224623931,5.5647311203443904e-11
M6_new,Himmelblau,2,1/100,38373.0,0.0,3.497543163642205e-08
M6_new,Himmelblau_MD1,2,0/100,,,5.320648533846842e-08
M6_new,Himmelblau_MD2,4,0/100,,,6.542511076393033e-06
M6_new,Himmelblau_MD3,4,0/100,,,0.0001436090959422279
M6_new,MD4,2,100/100,1999.6,51.35426472828327,3.041859068784089e-11
