Run,NF,fb,xb1,xb2,xb3,xb4,xb5
1,8721,4.657607632907457e-11,2.631142424505939e-07,-1.1949605997690848e-07,1.2928625008292634e-07,-2.369348965599906e-07,2.800190693604086e-07
2,8903,6.23714413450216e-11,4.8127379973615155e-08,1.2899381519515386e-07,-2.451253651811757e-07,-9.024588161035595e-08,4.766798062099632e-07
3,9148,9.117684385273606e-11,-5.304381678410118e-07,8.468497569082423e-08,-5.391692291788365e-09,3.1531341176044635e-07,2.6760183315383925e-07
4,9404,8.601830359111773e-11,5.499426546066073e-07,2.3232304930643275e-08,2.1823597046154412e-07,-1.5807198034176236e-07,-2.4075428726472593e-07
5,9081,7.327827233893913e-11,-4.349210329257074e-07,2.8680117316487027e-07,-1.04328015104332e-07,2.9338846327915293e-07,3.185051964870573e-08
6,8944,3.3310243452433497e-11,4.3760708754915034e-08,-6.20394380707027e-08,1.654118062892486e-07,-2.1966237843828607e-07,-2.941657914028427e-07
7,9159,9.407585821463726e-11,7.760584004401725e-08,-1.5158966949950228e-07,-5.334646708032983e-07,-1.6298234697517424e-07,-3.6606958645325593e-07
8,8870,7.635492238478037e-11,2.479425231544794e-07,2.8710964561193606e-07,5.8275312223794606e-08,3.983943098116514e-07,2.8082368973992874e-07
9,9218,9.970335668185726e-11,4.4455815160192434e-07,1.0005854141083677e-08,-3.6672232151960113e-07,-3.211496338476282e-07,2.592330792433438e-07
10,8995,6.539835339935962e-11,4.944708008869383e-07,-2.5185448792205735e-07,-2.708626225948299e-08,-4.1877481529704676e-08,1.3860507761285584e-07
11,8797,4.225597649565316e-11,1.7644677292334147e-07,3.091300710725505e-07,-1.4895217768380443e-07,7.972251641825947e-08,-2.403507823951946e-07
12,8699,9.556799795973347e-11,3.0558454433485873e-07,2.3301239320209554e-07,-2.483709516028482e-07,-4.114107710852688e-07,3.210437996158631e-07
13,8531,8.211031854443718e-11,2.9038446400122267e-07,1.5353382564121546e-07,-4.5275217664890716e-07,1.0018645190828549e-07,3.0163562367514555e-07
14,8166,3.097966327914037e-11,2.0162628176141628e-07,5.982937541610371e-08,-1.1682460307113073e-07,-7.243136826839404e-08,-3.0506600084196193e-07
15,9018,2.5728752461873228e-11,-5.106415318159805e-08,2.1631755948795356e-08,2.973360027078602e-07,-1.6422325692362005e-07,1.0588004547034347e-07
16,8630,6.042455424903892e-11,-1.2477476743415426e-08,-9.952976347344799e-08,4.846802683572266e-07,-2.042115031314825e-07,-1.3383753363854864e-07
17,9082,7.482015007553855e-11,-3.781193129542705e-07,-1.9963275058901064e-07,-1.2602228303346223e-07,-1.588516354440177e-07,3.914156296616992e-07
18,8741,9.453771099288133e-11,1.2763428893564776e-07,6.394076174595914e-08,1.5349539202897838e-07,2.1849060330130053e-07,-6.203493500771398e-07
19,9066,5.808686864838819e-11,-1.3938588493864245e-08,-1.2849784402949404e-07,-4.3198026919036023e-07,-2.0646056163012081e-07,2.1644876891830117e-07
20,8288,4.7137405090325046e-11,7.77518308225846e-08,7.108884213329145e-08,-2.820192377669661e-07,-3.3204607326220123e-07,1.9149534955308303e-07
21,9056,9.830358749240986e-11,1.1312358508824594e-07,2.5252125468031017e-07,2.813311755672444e-07,-1.6231647874973043e-08,-5.826931878325629e-07
22,8821,7.835865289962385e-11,-1.223092657962167e-07,-1.0530207119313084e-07,5.676475872117262e-07,-2.096025541334757e-07,5.261084719003631e-08
23,9668,3.927880243281834e-11,-3.283112941007192e-07,-2.692693228591216e-07,5.793601448340032e-09,5.5441421785159776e-08,-1.2080572380640023e-07
24,9514,5.936584557275637e-11,-1.266144769797561e-07,-2.539188555375646e-07,3.034080734038963e-07,3.025657109307863e-07,-1.8743930546564563e-07
25,8282,8.01776423031697e-11,2.425778721269767e-07,-2.3188841493250118e-08,5.103227353979187e-07,2.7128484183957516e-07,-1.0363277427670855e-07
26,8772,9.244871534974664e-11,1.6491395410256246e-07,-1.5774346177444347e-08,2.3255122143053222e-07,4.853092945912188e-07,-3.8594958466829127e-07
27,8955,9.481482265982777e-11,-4.5284706886361604e-08,1.468626368677047e-07,5.013333211336886e-07,-3.1719958861654924e-07,-3.1992017623042147e-07
28,8947,7.878497854107991e-11,-3.332464520759167e-07,2.2394171241464473e-07,4.5537168730753735e-07,1.404676575164605e-07,-9.379319473708377e-08
29,8745,7.737099849691731e-11,-2.696103198258711e-07,-1.9867236175356774e-07,4.963053306760446e-07,1.27694450419333e-07,1.2325193957965883e-07
30,9376,9.494272035226459e-11,4.403885162410189e-07,-3.175887919577007e-07,2.875031826759288e-08,3.6753390938163615e-07,2.1877407182865148e-07
31,9178,7.30437932361383e-11,1.0138965871489026e-07,-3.480438324081408e-07,2.1869091302543106e-07,-3.808271277693258e-07,2.0952182276443498e-07
